Mese,Variational Bayesian methods: (Tutto il mondo)
2004-01,41
2004-02,91
2004-03,100
2004-04,97
2004-05,51
2004-06,59
2004-07,88
2004-08,41
2004-09,52
2004-10,92
2004-11,77
2004-12,50
2005-01,62
2005-02,40
2005-03,61
2005-04,68
2005-05,59
2005-06,43
2005-07,50
2005-08,27
2005-09,49
2005-10,36
2005-11,86
2005-12,40
2006-01,39
2006-02,41
2006-03,56
2006-04,41
2006-05,51
2006-06,65
2006-07,36
2006-08,30
2006-09,48
2006-10,52
2006-11,51
2006-12,56
2007-01,43
2007-02,43
2007-03,30
2007-04,41
2007-05,40
2007-06,50
2007-07,39
2007-08,45
2007-09,37
2007-10,43
2007-11,45
2007-12,26
2008-01,29
2008-02,22
2008-03,29
2008-04,35
2008-05,43
2008-06,41
2008-07,35
2008-08,20
2008-09,36
2008-10,25
2008-11,33
2008-12,24
2009-01,41
2009-02,27
2009-03,35
2009-04,26
2009-05,33
2009-06,18
2009-07,28
2009-08,27
2009-09,32
2009-10,30
2009-11,27
2009-12,23
2010-01,29
2010-02,28
2010-03,27
2010-04,38
2010-05,29
2010-06,25
2010-07,19
2010-08,25
2010-09,29
2010-10,32
2010-11,30
2010-12,28
2011-01,20
2011-02,27
2011-03,27
2011-04,22
2011-05,36
2011-06,32
2011-07,26
2011-08,20
2011-09,27
2011-10,36
2011-11,34
2011-12,24
2012-01,23
2012-02,31
2012-03,24
2012-04,29
2012-05,26
2012-06,21
2012-07,24
2012-08,17
2012-09,19
2012-10,30
2012-11,24
2012-12,25
2013-01,24
2013-02,20
2013-03,35
2013-04,29
2013-05,25
2013-06,19
2013-07,21
2013-08,19
2013-09,26
2013-10,33
2013-11,28
2013-12,18
2014-01,29
2014-02,30
2014-03,20
2014-04,27
2014-05,21
2014-06,22
2014-07,26
2014-08,17
2014-09,22
2014-10,20
2014-11,29
2014-12,26
2015-01,24
2015-02,28
2015-03,31
2015-04,30
2015-05,23
2015-06,26
2015-07,22
2015-08,26
2015-09,26
2015-10,26
2015-11,31
2015-12,31
2016-01,34
2016-02,30
2016-03,35
2016-04,43
2016-05,41
2016-06,42
2016-07,38
2016-08,32
2016-09,46
2016-10,49
2016-11,63
2016-12,49
2017-01,51
2017-02,57
2017-03,56
2017-04,60
2017-05,60
2017-06,49
2017-07,53
2017-08,49
2017-09,54
2017-10,62
2017-11,74
2017-12,66
2018-01,58
2018-02,78
2018-03,72
2018-04,72
2018-05,61
2018-06,83
2018-07,69
2018-08,70
2018-09,73
2018-10,83
2018-11,91
2018-12,74
2019-01,80
2019-02,61
2019-03,57
